Order_ID,Order_Date,Order_Month,Order_Year,Customer_ID,Customer_Name,Gender,Age,City,State,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Profit_Margin_Pct,Payment_Mode
ORD0001,2025-11-27,2025-11,2025,CUST0088,Customer 373,Male,38,Kolkata,West Bengal,Beauty,Fragrance,Perfume,3,1800,0.1,4860.0,3150,1710.0,35.19,Upi
ORD0002,2025-10-04,2025-10,2025,CUST0161,Customer 314,Male,47,Warangal,Telangana,Clothing,Men'S Wear,Jeans,5,2200,0.2,8800.0,6500,2300.0,26.14,Upi
ORD0003,2025-07-09,2025-07,2025,CUST0446,Customer 175,Male,59,New Delhi,Delhi,Electronics,Laptop,Laptop,1,55000,0.1,49500.0,42000,7500.0,15.15,Net Banking
ORD0004,2025-06-16,2025-06,2025,CUST0274,Customer 388,Female,20,New Delhi,Delhi,Electronics,Audio,Headphones,4,2500,0.1,9000.0,6400,2600.0,28.89,Debit Card
ORD0005,2026-03-31,2026-03,2026,CUST0428,Customer 264,Female,19,Salem,Tamil Nadu,Clothing,Men'S Wear,Jeans,1,2200,0.0,2200.0,1300,900.0,40.91,Credit Card
ORD0006,2025-04-16,2025-04,2025,CUST0260,Customer 310,Male,21,Kolkata,West Bengal,Electronics,Laptop,Laptop,4,55000,0.0,220000.0,168000,52000.0,23.64,Credit Card
ORD0007,2026-04-01,2026-04,2026,CUST0215,Customer 252,Female,53,Nagpur,Maharashtra,Beauty,Skincare,Moisturizer,2,750,0.05,1425.0,840,585.0,41.05,Net Banking
ORD0008,2026-01-15,2026-01,2026,CUST0041,Customer 157,Male,41,Coimbatore,Tamil Nadu,Home & Kitchen,Home Decor,Table Lamp,5,1800,0.05,8550.0,5250,3300.0,38.6,Upi
ORD0009,2026-01-27,2026-01,2026,CUST0163,Customer 419,Male,25,Kolkata,West Bengal,Electronics,Laptop,Laptop,1,55000,0.1,49500.0,42000,7500.0,15.15,Cash
ORD0010,2025-02-02,2025-02,2025,CUST0048,Customer 407,Female,24,Madurai,Tamil Nadu,Electronics,Audio,Headphones,2,2500,0.0,5000.0,3200,1800.0,36.0,Credit Card
ORD0011,2026-04-07,2026-04,2026,CUST0131,Customer 257,Female,44,New Delhi,Delhi,Home & Kitchen,Furniture,Office Chair,4,8500,0.1,30600.0,23200,7400.0,24.18,Credit Card
ORD0012,2025-08-29,2025-08,2025,CUST0052,Customer 96,Male,32,Pune,Maharashtra,Electronics,Mobile,Smartphone,3,22000,0.1,59400.0,49500,9900.0,16.67,Credit Card
ORD0013,2025-08-31,2025-08,2025,CUST0086,Customer 284,Male,46,Warangal,Telangana,Electronics,Audio,Headphones,5,2500,0.1,11250.0,8000,3250.0,28.89,Upi
ORD0014,2025-11-27,2025-11,2025,CUST0128,Customer 348,Male,45,Mysuru,Karnataka,Beauty,Skincare,Face Wash,5,450,0.15,1912.5,1300,612.5,32.03,Credit Card
ORD0015,2026-04-01,2026-04,2026,CUST0411,Customer 137,Female,30,Madurai,Tamil Nadu,Sports,Cricket,Cricket Bat,1,2800,0.1,2520.0,1750,770.0,30.56,Upi
ORD0016,2026-04-17,2026-04,2026,CUST0233,Customer 180,Male,32,New Delhi,Delhi,Electronics,Audio,Headphones,2,2500,0.05,4750.0,3200,1550.0,32.63,Upi
ORD0017,2025-03-22,2025-03,2025,CUST0187,Customer 113,Female,19,Coimbatore,Tamil Nadu,Sports,Fitness,Dumbbells,4,2200,0.05,8360.0,5400,2960.0,35.41,Upi
ORD0018,2026-02-20,2026-02,2026,CUST0247,Customer 324,Male,18,Mysuru,Karnataka,Home & Kitchen,Furniture,Office Chair,5,8500,0.05,40375.0,29000,11375.0,28.17,Upi
ORD0019,2026-05-26,2026-05,2026,CUST0240,Customer 144,Male,41,Kolkata,West Bengal,Beauty,Fragrance,Perfume,1,1800,0.1,1620.0,1050,570.0,35.19,Net Banking
